,Unnamed: 0,Winner,Reach (inches) Differential,Height (inches) Differential,Significant Strikes Landed per Minute Differential,Significant Striking Accuracy Differential,Significant Strikes Absorbed per Minute Differential,Significant Strike Defence (the percentage of opponents strikes that did not land) Differential,Average Takedowns Landed per 15 minutes Differential,Takedown Accuracy Differential,Takedown Defense (the percentage of opponents TD attempts that did not land) Differential,Average Submissions Attempted per 15 minutes
0,0,1,-2.0,-3.0,2.0100000000000002,-0.07999999999999996,-0.5999999999999996,0.12,2.74,0.47,0.1100000000000001,0.9
1,1,1,3.0,-2.0,-1.4699999999999998,0.05999999999999994,-0.6499999999999999,0.0,0.6599999999999999,-0.29000000000000004,0.12,0.7
2,2,1,1.0,-3.0,0.29000000000000004,0.040000000000000036,-0.7600000000000002,0.06999999999999995,0.08999999999999997,-0.41000000000000003,-0.29,0.39999999999999997
3,3,1,0.0,1.0,-0.6400000000000001,0.16999999999999998,-4.2,0.08999999999999997,3.04,0.18,0.33,0.7
4,4,0,2.0,-1.0,0.9199999999999999,-0.10000000000000003,1.75,-0.040000000000000036,-0.58,-0.12000000000000005,0.27,0.20000000000000007
5,5,1,1.0,0.0,2.4399999999999995,0.050000000000000044,-1.29,0.03999999999999998,-0.13,0.05000000000000002,0.31999999999999995,-0.3
6,6,1,-2.0,-2.0,1.9,-0.09999999999999998,4.13,-0.040000000000000036,-3.8199999999999994,-0.12,-0.19999999999999996,0.09999999999999998
7,7,1,1.0,0.0,-0.41999999999999993,-0.040000000000000036,0.4500000000000002,0.020000000000000018,2.16,0.19,0.19,-0.49999999999999994
8,8,0,1.0,2.0,-0.7700000000000005,-0.050000000000000044,-0.8700000000000001,0.10000000000000003,0.040000000000000036,0.22,0.19999999999999996,0.19999999999999996
9,9,0,3.0,1.0,-0.43000000000000016,-0.02999999999999997,-0.6799999999999997,0.010000000000000009,1.56,0.18,-0.08000000000000007,0.7000000000000001
10,10,0,2.0,2.0,-5.360000000000001,-0.09000000000000002,-1.5300000000000002,-0.10999999999999999,2.7399999999999993,-0.16000000000000003,-0.07000000000000006,0.8
11,11,1,-1.0,2.0,-1.94,-0.08999999999999997,-2.0,-0.039999999999999925,1.9299999999999997,0.07999999999999996,-0.07999999999999996,0.8
12,12,0,-4.0,-6.0,-2.34,-0.19,-0.2599999999999998,0.24,1.27,0.07999999999999996,0.09000000000000008,-1.7999999999999998
13,13,1,5.0,1.0,0.35000000000000053,-0.03999999999999998,1.2099999999999995,-0.030000000000000027,0.13000000000000006,0.12,0.45000000000000007,-0.2
14,14,1,-1.0,2.0,2.2,0.0,0.5800000000000001,0.08999999999999997,-0.010000000000000009,0.14999999999999997,0.24,-1.2999999999999998
