,Winner,Loser,Red,Blue,Knockdowns (R),Knockdowns (B),Significant Strikes (R),Significant Strikes (B),Significant Strikes Percentage (R),Significant Strikes Percentage (B),Total Strikes (R),Total Strikes (B),Takedowns (R),Takedowns (B),Takedowns Percentage (R),Takedowns Percentage (B),Submission Attempts (R),Submission Attempts (B),Reversals (R),Reversals (B),Control Time (seconds) (R),Control Time (seconds) (B)
0,1,0,Alexandre Pantoja,Kai Asakura,0.0,0.0,32.0,17.0,0.61,0.58,33.0,30.0,3.0,0.0,0.42,0.0,1.0,0.0,0.0,0.0,166.0,24.0
1,1,0,Shavkat Rakhmonov,Ian Machado Garry,0.0,0.0,37.0,42.0,0.55,0.5,65.0,102.0,2.0,1.0,0.2,0.5,0.0,2.0,1.0,0.0,701.0,152.0
2,1,0,Ciryl Gane,Alexander Volkov,0.0,0.0,43.0,39.0,0.7,0.54,48.0,105.0,2.0,3.0,0.5,0.75,2.0,1.0,0.0,0.0,220.0,272.0
3,1,0,Bryce Mitchell,Kron Gracie,0.0,0.0,26.0,6.0,0.72,0.19,147.0,90.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,513.0,2.0
4,0,1,Nate Landwehr,Dooho Choi,0.0,0.0,25.0,78.0,0.37,0.67,32.0,114.0,0.0,4.0,0.0,0.8,0.0,0.0,0.0,0.0,42.0,433.0
5,1,0,Dominick Reyes,Anthony Smith,0.0,0.0,121.0,21.0,0.74,0.45,172.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,1.0
6,1,0,Vicente Luque,Themba Gorimbo,0.0,0.0,2.0,5.0,0.33,0.55,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0
7,1,0,Movsar Evloev,Aljamain Sterling,0.0,0.0,8.0,12.0,0.3,0.46,136.0,45.0,4.0,6.0,0.8,0.75,0.0,0.0,1.0,2.0,369.0,376.0
8,0,1,Randy Brown,Bryan Battle,0.0,0.0,60.0,57.0,0.54,0.51,80.0,109.0,2.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,106.0,445.0
9,0,1,Chris Weidman,Eryk Anders,1.0,0.0,16.0,62.0,0.44,0.6,27.0,121.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,135.0,264.0
10,0,1,Cody Durden,Joshua Van,0.0,0.0,70.0,165.0,0.32,0.54,74.0,184.0,2.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,194.0,20.0
11,1,0,Michael Chiesa,Max Griffin,0.0,0.0,13.0,10.0,0.33,0.29,54.0,18.0,2.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,228.0,79.0
12,0,1,Clay Guida,Chase Hooper,0.0,0.0,5.0,7.0,0.38,0.46,6.0,14.0,0.0,3.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,128.0
13,1,0,Kennedy Nzechukwu,Lukasz Brzeski,1.0,0.0,29.0,32.0,0.41,0.46,29.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
14,1,0,Petr Yan,Deiveson Figueiredo,0.0,0.0,121.0,53.0,0.62,0.44,190.0,53.0,1.0,2.0,0.25,0.25,0.0,0.0,1.0,0.0,201.0,180.0
15,1,0,Yan Xiaonan,Tabatha Ricci,0.0,0.0,78.0,15.0,0.48,0.14,89.0,17.0,0.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,16.0
16,0,1,Song Kenan,Muslim Salikhov,0.0,1.0,9.0,20.0,0.42,0.71,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0
17,0,1,Wang Cong,Gabriella Fernandes,0.0,1.0,46.0,18.0,0.41,0.3,48.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0
18,0,1,Volkan Oezdemir,Carlos Ulberg,0.0,0.0,96.0,98.0,0.52,0.48,96.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
19,1,0,Zhang Mingyang,Ozzy Diaz,1.0,0.0,17.0,9.0,0.5,0.75,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
20,0,1,Baergeng Jieleyisi,SuYoung You,0.0,0.0,9.0,42.0,0.12,0.48,48.0,85.0,1.0,2.0,1.0,0.4,0.0,0.0,0.0,0.0,17.0,286.0
21,0,1,Kiru Sahota,DongHun Choi,0.0,1.0,2.0,12.0,0.08,0.63,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,0,Shi Ming,Feng Xiaocan,1.0,0.0,30.0,48.0,0.27,0.47,33.0,58.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,53.0,65.0
23,0,1,Nyamjargal Tumendemberel,Carlos Hernandez,1.0,0.0,26.0,44.0,0.27,0.41,28.0,46.0,0.0,4.0,0.0,0.28,1.0,0.0,1.0,0.0,15.0,285.0
24,1,0,Lone'er Kavanagh,Jose Ochoa,0.0,0.0,51.0,50.0,0.4,0.31,51.0,59.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0
25,1,0,Xiao Long,Quang Le,1.0,0.0,87.0,64.0,0.45,0.41,92.0,68.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,26.0,7.0
26,0,1, Maheshate,Nikolas Motta,0.0,2.0,56.0,78.0,0.33,0.46,60.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
27,1,0,Jon Jones,Stipe Miocic,1.0,0.0,96.0,37.0,0.8,0.41,104.0,42.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0
28,1,0,Charles Oliveira,Michael Chandler,0.0,0.0,88.0,84.0,0.72,0.74,117.0,150.0,5.0,0.0,0.41,0.0,2.0,0.0,0.0,0.0,892.0,119.0
29,1,0,Bo Nickal,Paul Craig,0.0,0.0,54.0,47.0,0.63,0.36,54.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,0,Viviane Araujo,Karine Silva,0.0,0.0,48.0,58.0,0.56,0.43,105.0,76.0,3.0,1.0,1.0,0.14,1.0,1.0,0.0,0.0,145.0,210.0
31,1,0,Mauricio Ruffy,James Llontop,1.0,0.0,67.0,90.0,0.59,0.38,74.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,80.0
32,0,1,Jonathan Martinez,Marcus McGhee,0.0,0.0,48.0,102.0,0.44,0.45,49.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
33,1,0,Jim Miller,Damon Jackson,0.0,0.0,10.0,16.0,0.41,0.51,11.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0
34,1,0,David Onama,Roberto Romero,1.0,1.0,121.0,74.0,0.56,0.47,145.0,79.0,1.0,0.0,0.33,0.0,1.0,0.0,0.0,0.0,263.0,74.0
35,1,0,Marcin Tybura,Jhonata Diniz,0.0,0.0,35.0,15.0,0.71,0.51,153.0,27.0,1.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0,434.0,36.0
36,0,1,Mickey Gall,Ramiz Brahimaj,0.0,1.0,28.0,31.0,0.68,0.55,30.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
37,0,1,Bassil Hafez,Oban Elliott,0.0,1.0,24.0,65.0,0.34,0.55,24.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0
