,Name,Wins,Losses,Draws,Stance,Reach (inches),Weight (pounds),Height (inches),Significant Strikes Landed per Minute,Significant Striking Accuracy,Significant Strikes Absorbed per Minute,Significant Strike Defence (the percentage of opponents strikes that did not land),Average Takedowns Landed per 15 minutes,Takedown Accuracy,Takedown Defense (the percentage of opponents TD attempts that did not land),Average Submissions Attempted per 15 minutes
0,Nariman Abbasov,28,4,0,Orthodox,66.0,155.0,68.0,3.0,0.2,5.67,0.46,0.0,0.0,0.66,0.0
1,Hamdy Abdelwahab,5,0,0,Southpaw,72.0,264.0,74.0,3.87,0.52,3.13,0.59,3.0,0.75,0.0,0.0
2,Mansur Abdul-Malik,7,0,0,Orthodox,79.0,185.0,74.0,6.61,0.54,4.21,0.53,0.0,0.0,0.75,0.0
3,Shamil Abdurakhimov,20,8,0,Orthodox,76.0,235.0,75.0,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1
4,Daichi Abe,6,2,0,Orthodox,71.0,170.0,71.0,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0
5,Klidson Abreu,15,4,0,Orthodox,74.0,205.0,72.0,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0
6,John Adajar,6,2,0,Orthodox,75.0,170.0,69.0,3.9,0.52,6.28,0.44,0.0,0.0,0.0,0.0
7,Juan Adams,5,3,0,Orthodox,80.0,265.0,77.0,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0
8,Anthony Adams,8,2,0,Orthodox,76.0,185.0,73.0,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0
9,Zarrukh Adashev,4,4,0,Southpaw,65.0,125.0,65.0,3.65,0.4,3.04,0.64,0.0,0.0,1.0,0.5
10,Israel Adesanya,24,4,0,Switch,80.0,185.0,76.0,4.0,0.48,3.21,0.56,0.05,0.12,0.75,0.1
11,Mohamed Ado,5,1,0,Switch,76.0,170.0,71.0,1.66,0.83,0.33,0.75,4.97,0.5,0.5,5.0
12,Mariya Agapova,10,5,0,Southpaw,68.0,125.0,66.0,4.43,0.54,3.62,0.52,0.55,0.66,0.45,0.8
13,Jessica Aguilar,20,8,0,Orthodox,63.0,115.0,63.0,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2
14,Kevin Aguilar,17,5,0,Orthodox,73.0,155.0,67.0,3.96,0.4,4.81,0.52,0.16,0.16,0.78,0.0
15,Jesus Aguilar,11,2,0,Orthodox,62.0,125.0,64.0,1.46,0.51,1.26,0.58,1.75,0.33,0.36,1.8
16,Christian Aguilera,14,8,0,Switch,72.0,170.0,69.0,2.54,0.37,4.04,0.48,0.0,0.0,0.6,0.0
17,Nick Aguirre,7,2,0,Southpaw,74.0,135.0,69.0,0.73,0.33,2.89,0.45,1.16,0.2,0.33,0.6
18,Ashiek Ajim,6,2,0,Switch,71.0,135.0,68.0,5.0,0.4,11.25,0.25,0.0,0.0,0.0,0.0
